CODIGO DE PRODUCTO,Marca,Modelo,CATEGORIA INTERNA,CAT IINTERNA ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,m³,Ancho,Largo (cm),Profundidad,Cod item (Rep),PrecioMin,PrecioMax,Recauchitado viejo,Rotación,Modelo2,Modelo3,desc,no,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
1,Akai,Apc 40 Mkii,Controlador Usb,Controladores,Controlador Midi usb p/ Ableton Live,3.74,,SI,0.01,40.00,23.00,14.00,1,199.00,199.00,1,B,Apc40,,Controlador Midi usb p/ Ableton Live,Akai Apc40 Controlador Ableton Live Usb 40 Pads - Apc - 40,"3,74",#REF!,"(1) Akai APC40
(1) Ableton Live APC Edition CD
(1) USB Cable
(1) Manual",si,Akai Apc 40 / Apc40 Controlador p/ Ableton Live Nuevo c/gtia,60,apc 40,,,Controlador,Controlador Midi Usb para el Ableton Live,Controlador Akai para Ableton Live,http://www.akaipro.com/product/apc40,http://6be54c364949b623a3c0-4409a68c214f3a9eeca8d0265e9266c0.r0.cf2.rackcdn.com/754/documents/apc40___quickstart_guide___revd_1_.pdf,Fabricado en Malasia,1,Akai,Apc 40,Akai Apc 40,Recording,DJ,Controlador Usb,Controlador Midi usb p/ Ableton Live,,,,Recording,Grabacion
2,Akai,Ewi Usb,Controlador Usb,Controladores,Controlador midi usb de viento,1.27,,SI,0.01,68.00,15.00,10.00,2,269.00,269.00,2,C,,,Controlador midi usb de viento,Akai Ewi Usb Controlador Electronico De Viento - Flauta USB,"1,27",#REF!,"(1) EWI USB
 (1) USB Cable
 [USB Powered]
 (1) Aria Software DVD
 (1) Neck Strap
 (1) Cleaning Cloth
 (1) User Guide (Printed)",si,,,Ewi usb,,,Controlador,Controlador midi simulador de instrumento de viento,intrumento de viento controlador usb,http://www.akaipro.com/product/ewiusb,http://6be54c364949b623a3c0-4409a68c214f3a9eeca8d0265e9266c0.r0.cf2.rackcdn.com/493/documents/ewi_usb_quickstart_manual_reve_00.pdf,Fabricado en TAIWAN,2,Akai,Ewi Usb,Akai Ewi Usb,Recording,,Controlador Usb,Controlador midi usb de viento,,,,Dj,Equipos DJ
xx2,Akg,C214,Microfono condenser,Electronica audio video otros,Microfono Condenser Cardioide,1.40,,SI,0.01,28.80,22.70,9.70,xx2,252.00,350.00,xx2,,,,,,,#REF!,"(1) C214 Microphone
 (1) H85 Shockmount
 (1) Hard Shell Road Case
 (1) W214 Windscreen",si,,,,,,,,,,,,xx2,Akg,C214,Akg C214,Recording,Voces,Microfono condenser,Microfono Condenser Cardioide,,,,Guitarra y Bajo,Guitarra/Bajo
xx10,Akg,Perception 420,Microfono condenser,Electronica audio video otros,,1.86,,SI,0.01,22.00,23.00,14.00,xx10,181.00,181.00,xx10,,,,,,,#REF!,,,,,,,,,,,,,,xx10,Akg,Perception 420,Akg Perception 420,Recording,Voces,Microfono condenser,,,,,Voces,Voces
xx75,Alesis,Vortex Wireless,Teclado controlador Usb,Controladores,,4.51,,SI,0.04,95.50,31.20,12.20,xx75,180.00,180.00,xx75,,,,,,,#REF!,"(1) Vortex Wireless Keytar
 (1) USB Wireless Receiver
 (1) USB Extension Cable
 (1) USB Cable
 (1) Strap
 (1) Cable Harness
 (1) Ableton Live Lite, SONiVOX Vortex-I (Download), and AIR Music Tech's Ignite (Download)
 (1) Quickstart Guide
 (1) Safety & Warranty Manual",si,,,,,,,,,,,,xx75,Alesis,Vortex Wireless,Alesis Vortex Wireless,,,Teclado controlador Usb,,,,,,
xx31,Apogee,Jam,Placa de audio Usb,Placas USB - Firewire,,0.20,,SI,0.00,13.00,20.50,3.50,xx31,87.00,87.00,xx31,,,,,,,#REF!,,,,,,,,,,,,,,xx31,Apogee,Jam,Apogee Jam,,,Placa de audio Usb,,,,,Vivo,Vivo
xx80,ARIZER,SOLO,,Electronica audio video otros,,0.53,,SI,0.00,13.00,13.00,14.70,xx80,120.00,120.00,xx80,,,,,,,#REF!,,,,,,,,,,,,,,xx80,ARIZER,SOLO,ARIZER SOLO,,,,,,,,,
49,Art,Dual Pre,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,0.68,,SI,0.00,,,,49,75.00,75.00,49,A,,,Placa Usb Interfaz de audio / sonido,,"0,68",#REF!,"(1) ART USB Dual Pre
 (1) USB Cable
 (1) Software Installation CD
 (1) Owner's Manual",si,"Art Usb Dual Pre Project Series 2 Canales Mic, Preamp Amp",58,dual pre,,,Placa de sonido externa,Placa de sonido externa usb con 2 preamplificadores,Placa interfaz de audio usb con 2 preamps,http://artproaudio.com/discontinued_products/discontinued_products/product/usb_dual_pre/,,Diseñado en USA y Fabricado en China,49,Art,Dual Pre,Art Dual Pre,Recording,Interfaces de audio,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,Vaporizadores,
3,Audio Technica,AT2020,Microfono condenser,Electronica audio video otros,Microfono Condenser Cardioide,0.81,,SI,0.00,,,,3,99.00,99.00,3,A,AT 2020,,Microfono Condenser Cardioide,Audio Technica AT2020 Microfono condenser cardioide,"0,81",#REF!,"(1) Audio-Technica AT2020
 (1) Mount
 (1) Carry Bag
 (1) Manual",si,,,At2020,at 2020,at-2020,Microfono,Microfono Condenser Cardioide,Microfono de Condensador,http://www.audio-technica.com/cms/wired_mics/18f81a43e6005fcf/index.html,http://www.audio-technica.com/cms/resource_library/literature/f0194253304c9b8d/at2020_spanish.pdf,Diseñado en Japon y Fabricado en China,3,Audio Technica,AT2020,Audio Technica AT2020,Recording,Voces,Microfono condenser,Microfono Condenser Cardioide,,,,"fotografia, deporte y hogar","Fotografia, deporte y hogar"
4,Audio Technica,ATH-M2X,Auriculares,Auriculares,Auriculares Stereo Open-Back / Abiertos,0.33,,SI,0.00,,,,4,19.00,19.00,4,C,ATH M2X,,Auriculares Stereo Open-Back / Abiertos,Audio Technica ATH-M2X Auriculares Estereo tamaño medio,"0,33",#REF!,,,,,ATH-m2x,ath m2x,,Auriculares,Auriculares Dinámicos Stereo Abiertos y de Tamaño Medio,Auriculares Open Back Dynamic Stereo,http://www.audio-technica.com/cms/headphones/04a194775fb38dc1/index.html,,Fabricado en Taiwan,4,Audio Technica,ATH-M2X,Audio Technica ATH-M2X,Recording,Auriculares,Auriculares,Auriculares Stereo Open-Back / Abiertos,,,,Accesorios,Accesorios
